 Time1  Time2       u_stat         p-val Reject
     0      1 1.666123e+12 1.350250e-215   True
     0      2 1.581692e+12  0.000000e+00   True
     0      3 1.017977e+12  0.000000e+00   True
     0      4 7.336611e+11  0.000000e+00   True
     0      5 5.726932e+11  0.000000e+00   True
     0      6 4.710028e+11  0.000000e+00   True
     0      7 3.933424e+11  0.000000e+00   True
     0      8 3.343821e+11  0.000000e+00   True
     0      9 2.870116e+11  0.000000e+00   True
     0     10 2.476381e+11  0.000000e+00   True
     0     11 2.148788e+11  0.000000e+00   True
     0     12 1.887464e+11  0.000000e+00   True
     0     13 1.649391e+11  0.000000e+00   True
     0     14 1.460355e+11  0.000000e+00   True
     0     15 1.290420e+11  0.000000e+00   True
     0     16 1.153326e+11  0.000000e+00   True
     0     17 1.030873e+11  0.000000e+00   True
     0     18 9.223465e+10  0.000000e+00   True
     0     19 8.308487e+10  0.000000e+00   True
     0     20 7.537220e+10  0.000000e+00   True
     0     21 6.811417e+10  0.000000e+00   True
     0     22 6.174038e+10  0.000000e+00   True
     0     23 5.626135e+10  0.000000e+00   True
     0     24 5.135086e+10  0.000000e+00   True
     0     25 4.681308e+10  0.000000e+00   True
     0     26 4.296732e+10  0.000000e+00   True
     0     27 3.927927e+10  0.000000e+00   True
     0     28 3.606290e+10  0.000000e+00   True
     0     29 3.307494e+10  0.000000e+00   True
     0     30 3.054310e+10  0.000000e+00   True
     0     31 2.800029e+10  0.000000e+00   True
     0     32 2.611929e+10  0.000000e+00   True
     0     33 2.395590e+10  0.000000e+00   True
     0     34 2.220635e+10  0.000000e+00   True
     0     35 2.038993e+10  0.000000e+00   True
     0     36 1.886000e+10  0.000000e+00   True
     0     37 1.762540e+10  0.000000e+00   True
     0     38 1.665072e+10  0.000000e+00   True
     0     39 1.536596e+10  0.000000e+00   True
     0     40 1.432765e+10  0.000000e+00   True
     0     41 1.313041e+10  0.000000e+00   True
     0     42 1.254205e+10  0.000000e+00   True
     0     43 1.183379e+10  0.000000e+00   True
     0     44 1.105850e+10  0.000000e+00   True
     0     45 1.016604e+10  0.000000e+00   True
     0     46 9.655532e+09  0.000000e+00   True
     0     47 8.988936e+09  0.000000e+00   True
     0     48 8.488970e+09  0.000000e+00   True
     0     49 8.058477e+09  0.000000e+00   True
     0     50 7.609266e+09  0.000000e+00   True
     0     51 7.092776e+09  0.000000e+00   True
     0     52 6.636759e+09  0.000000e+00   True
     0     53 6.352253e+09  0.000000e+00   True
     0     54 5.864747e+09  0.000000e+00   True
     0     55 5.638392e+09  0.000000e+00   True
     0     56 5.401344e+09  0.000000e+00   True
     0     57 4.992326e+09 1.658483e-273   True
     0     58 4.733813e+09 1.045686e-258   True
     0     59 4.505769e+09 7.875668e-262   True
     0     60 4.286554e+09 8.130887e-244   True
     0     61 4.084276e+09 3.474272e-255   True
     0     62 3.722047e+09 4.998494e-203   True
     0     63 3.662284e+09 2.291362e-221   True
     0     64 3.459945e+09 2.065904e-209   True
     0     65 3.240921e+09 2.051868e-184   True
     0     66 3.125553e+09 3.788643e-199   True
     0     67 2.985777e+09 1.498802e-179   True
     0     68 2.838014e+09 1.228036e-156   True
     0     69 2.682257e+09 4.941188e-157   True
     0     70 2.528687e+09 4.752834e-140   True
     0     71 2.473946e+09 1.682816e-156   True
     0     72 2.266100e+09 9.442041e-143   True
     0     73 2.156304e+09 6.059874e-123   True
     0     74 2.104780e+09 8.067081e-131   True
     0     75 1.963118e+09 2.168077e-115   True
     0     76 1.867243e+09 4.120902e-104   True
     0     77 1.752185e+09  2.909215e-99   True
     0     78 1.805630e+09 2.650509e-118   True
     0     79 1.686625e+09 1.163801e-103   True
     0     80 1.602038e+09  2.584027e-89   True
     0     81 1.601355e+09  1.306016e-99   True
     0     82 1.535326e+09  8.111695e-97   True
     0     83 1.382776e+09  2.648849e-86   True
     0     84 1.267299e+09  1.226151e-79   True
     0     85 1.350607e+09  2.178543e-90   True
     0     86 1.245020e+09  8.527073e-87   True
     0     87 1.156527e+09  5.188772e-73   True
     0     88 1.147699e+09  2.241925e-65   True
     0     89 1.074520e+09  2.359580e-67   True
     0     90 1.066362e+09  2.634176e-78   True
     0     91 9.946234e+08  6.884031e-66   True
     0     92 9.510042e+08  7.045604e-65   True
     0     93 9.749097e+08  2.402759e-61   True
     0     94 8.443916e+08  7.574699e-48   True
     0     95 8.499424e+08  1.294928e-45   True
     0     96 8.277420e+08  2.112543e-50   True
     0     97 8.443171e+08  4.818981e-57   True
     0     98 7.611892e+08  3.296762e-43   True
     0     99 7.380879e+08  2.015872e-55   True
     0    100 6.718825e+08  3.521865e-38   True
     0    101 6.696558e+08  2.428043e-45   True
     0    102 6.736596e+08  9.398433e-47   True
     0    103 6.303766e+08  1.676178e-36   True
     0    104 5.841246e+08  2.111267e-36   True
     0    105 5.934565e+08  2.426751e-46   True
     0    106 5.144551e+08  8.727789e-29   True
     0    107 5.425336e+08  3.155777e-38   True
     0    108 5.334808e+08  1.061774e-35   True
     0    109 4.668063e+08  2.241597e-30   True
     0    110 4.793644e+08  2.454828e-25   True
     0    111 4.786734e+08  1.651001e-26   True
     0    112 4.334301e+08  9.308056e-31   True
     0    113 4.490407e+08  1.037061e-31   True
     0    114 4.132882e+08  1.536501e-25   True
     0    115 4.134069e+08  2.683516e-32   True
