 Time1  Time2       u_stat         p-val Reject
     0      1 1.434475e+11  0.000000e+00   True
     0      2 8.258077e+10  0.000000e+00   True
     0      3 4.316933e+10  0.000000e+00   True
     0      4 2.811559e+10  0.000000e+00   True
     0      5 1.997068e+10  0.000000e+00   True
     0      6 1.493719e+10  0.000000e+00   True
     0      7 1.145288e+10  0.000000e+00   True
     0      8 9.123035e+09  0.000000e+00   True
     0      9 7.345932e+09  0.000000e+00   True
     0     10 5.941839e+09  0.000000e+00   True
     0     11 4.974444e+09  0.000000e+00   True
     0     12 4.102633e+09  0.000000e+00   True
     0     13 3.464262e+09  0.000000e+00   True
     0     14 2.895271e+09  0.000000e+00   True
     0     15 2.532566e+09  0.000000e+00   True
     0     16 2.239712e+09  0.000000e+00   True
     0     17 1.901571e+09 1.503301e-287   True
     0     18 1.660424e+09 3.690039e-262   True
     0     19 1.439504e+09 2.568222e-202   True
     0     20 1.234628e+09 3.723708e-180   True
     0     21 1.141120e+09 1.326514e-178   True
     0     22 1.036592e+09 5.182617e-165   True
     0     23 9.125990e+08 1.512929e-147   True
     0     24 8.034527e+08 4.922315e-117   True
     0     25 7.181860e+08 2.462886e-114   True
     0     26 6.640849e+08 2.531329e-111   True
     0     27 5.767732e+08  1.043189e-81   True
     0     28 5.514880e+08  2.533324e-92   True
     0     29 4.888122e+08  1.337750e-95   True
     0     30 4.398604e+08  2.572270e-73   True
     0     31 4.183899e+08  3.475552e-78   True
     0     32 3.639133e+08  4.137686e-68   True
     0     33 3.494147e+08  3.474492e-60   True
     0     34 3.127081e+08  7.465457e-53   True
     0     35 2.760468e+08  1.692303e-44   True
     0     36 2.706151e+08  2.219762e-54   True
     0     37 2.528709e+08  2.066405e-41   True
     0     38 2.199011e+08  3.800120e-38   True
     0     39 2.111768e+08  8.556949e-40   True
     0     40 2.011391e+08  1.693234e-38   True
     0     41 1.751607e+08  2.089651e-26   True
     0     42 1.638759e+08  3.046019e-23   True
     0     43 1.517554e+08  3.417923e-26   True
     0     44 1.314652e+08  2.756246e-17   True
     0     45 1.349785e+08  1.118552e-21   True
     0     46 1.281810e+08  1.292548e-23   True
     0     47 1.169937e+08  7.067183e-17   True
     0     48 1.138343e+08  4.825340e-21   True
     0     49 1.025755e+08  1.026050e-12   True
     0     50 9.890317e+07  2.378679e-15   True
     0     51 9.636545e+07  1.742641e-16   True
     0     52 8.074496e+07  1.082114e-11   True
     0     53 7.445623e+07  9.329362e-10   True
     0     54 6.968348e+07  2.338059e-16   True
     0     55 6.624989e+07  1.110434e-08   True
     0     56 6.691992e+07  1.427568e-10   True
     0     57 6.974747e+07  3.915893e-13   True
     0     58 5.933104e+07  3.377379e-07   True
     0     59 5.765788e+07  5.248982e-08   True
     0     60 4.969647e+07  1.682323e-10   True
     0     61 4.824356e+07  5.758159e-06   True
     0     62 5.682580e+07  9.956768e-12   True
     0     63 4.759649e+07  6.520654e-07   True
     0     64 4.494093e+07  2.011009e-07   True
     0     65 4.387900e+07  2.641143e-08   True
     0     66 3.777581e+07  5.675315e-08   True
     0     67 3.892408e+07  3.662237e-07   True
     0     68 3.879800e+07  1.210300e-05   True
     0     69 3.753342e+07  2.267889e-08   True
     0     70 3.140125e+07  1.113410e-05   True
     0     71 3.464564e+07  1.036850e-06   True
     0     72 3.385607e+07  2.371962e-07   True
     0     73 3.056389e+07  7.899132e-06   True
     0     74 2.589886e+07  8.070504e-04   True
     0     75 2.820785e+07  4.841641e-07   True
     0     76 2.314933e+07  7.864255e-04   True
     0     77 2.404765e+07  9.976274e-03   True
     0     78 2.352796e+07  6.779837e-03   True
     0     79 2.290402e+07  4.429911e-06   True
     0     80 1.519660e+07  3.354518e-01  False
     0     81 2.163560e+07  5.607922e-04   True
     0     82 2.197382e+07  3.897154e-06   True
     0     83 1.720521e+07  1.159594e-02   True
     0     84 1.140770e+07  2.713711e-01  False
     0     85 1.452654e+07  2.434708e-01  False
     0     86 2.002109e+07  2.314638e-04   True
     0     87 1.693741e+07  6.251815e-04   True
     0     88 1.504961e+07  1.567742e-02   True
     0     89 1.249222e+07  8.215781e-03   True
     0     90 1.361675e+07  1.890215e-02   True
     0     91 1.642976e+07  1.505839e-02   True
     0     92 1.066467e+07  2.700030e-03   True
     0     93 1.334609e+07  1.963599e-03   True
     0     94 8.446922e+06  8.583297e-01  False
     0     95 1.196846e+07  7.879614e-01  False
     0     96 1.064538e+07  1.791177e-02   True
     0     97 1.159116e+07  7.371305e-03   True
     0     98 1.144022e+07  2.190224e-04   True
     0     99 1.143099e+07  5.582218e-03   True
     0    100 1.024802e+07  4.513997e-01  False
     0    101 1.000697e+07  2.077065e-03   True
     0    102 1.139894e+07  8.648471e-04   True
     0    103 1.161766e+07  1.523261e-02   True
     0    104 6.554850e+06  6.792265e-01  False
     0    105 9.244330e+06  4.136672e-02   True
     0    106 8.310783e+06  9.029427e-02  False
     0    107 7.415466e+06  1.687521e-01  False
     0    108 8.830795e+06  1.145368e-04   True
     0    109 8.478114e+06  1.940166e-01  False
     0    110 6.512156e+06  4.983148e-01  False
     0    111 5.447240e+06  7.245361e-01  False
     0    112 7.368786e+06  9.993126e-02  False
     0    113 5.973778e+06  4.537862e-02   True
     0    114 4.993934e+06  9.700597e-02  False
     0    115 5.221156e+06  4.836679e-01  False
     0    116 6.841254e+06  2.313871e-02   True
     0    117 4.171725e+06  4.313630e-01  False
     0    118 6.535899e+06  1.059546e-02   True
     0    119 6.549868e+06  9.875459e-05   True
     0    120 6.617444e+06  5.647645e-02  False
     0    121 5.034353e+06  2.490878e-01  False
     0    122 2.973946e+06  2.391067e-01  False
     0    123 3.606178e+06  2.811265e-01  False
     0    124 4.130546e+06  2.510471e-01  False
     0    125 5.435751e+06  2.072152e-02   True
     0    126 6.911690e+06  4.474517e-02   True
     0    127 6.746374e+06  1.221300e-02   True
     0    128 5.122002e+06  8.335587e-02  False
     0    129 4.079766e+06  2.956856e-01  False
     0    130 3.508832e+06  7.049341e-02  False
     0    131 3.920660e+06  2.371658e-01  False
     0    132 4.000114e+06  1.780651e-01  False
     0    133 4.196395e+06  7.952448e-02  False
     0    134 6.116623e+06  3.503553e-04   True
     0    135 4.856814e+06  9.483689e-02  False
     0    136 1.856984e+06  9.394588e-01  False
     0    137 2.108313e+06  6.261527e-01  False
     0    138 2.166178e+06  8.496638e-01  False
     0    139 1.976477e+06  4.141480e-01  False
     0    140 2.489000e+06  6.424972e-01  False
     0    141 4.319775e+06  2.818867e-01  False
     0    142 1.881994e+06  3.424733e-02   True
     0    143 2.074996e+06  5.986246e-01  False
     0    144 3.154098e+06  5.453826e-03   True
     0    145 4.199922e+06  3.998182e-01  False
     0    146 8.170775e+05  3.659681e-01  False
     0    147 3.017568e+06  2.269914e-01  False
     0    148 4.045047e+06  2.354979e-03   True
