 Time1  Time2       u_stat         p-val Reject
     0      1 6.270255e+11  0.000000e+00   True
     0      2 4.702142e+11  0.000000e+00   True
     0      3 2.672786e+11  0.000000e+00   True
     0      4 1.842174e+11  0.000000e+00   True
     0      5 1.401292e+11  0.000000e+00   True
     0      6 1.113895e+11  0.000000e+00   True
     0      7 9.046080e+10  0.000000e+00   True
     0      8 7.492233e+10  0.000000e+00   True
     0      9 6.270019e+10  0.000000e+00   True
     0     10 5.317252e+10  0.000000e+00   True
     0     11 4.548084e+10  0.000000e+00   True
     0     12 3.916849e+10  0.000000e+00   True
     0     13 3.411307e+10  0.000000e+00   True
     0     14 2.983330e+10  0.000000e+00   True
     0     15 2.632282e+10  0.000000e+00   True
     0     16 2.331434e+10  0.000000e+00   True
     0     17 2.058713e+10  0.000000e+00   True
     0     18 1.857927e+10  0.000000e+00   True
     0     19 1.684608e+10  0.000000e+00   True
     0     20 1.506660e+10  0.000000e+00   True
     0     21 1.375836e+10  0.000000e+00   True
     0     22 1.249549e+10  0.000000e+00   True
     0     23 1.143865e+10  0.000000e+00   True
     0     24 1.031429e+10  0.000000e+00   True
     0     25 9.467397e+09  0.000000e+00   True
     0     26 8.864431e+09  0.000000e+00   True
     0     27 7.947460e+09  0.000000e+00   True
     0     28 7.419800e+09  0.000000e+00   True
     0     29 7.016028e+09  0.000000e+00   True
     0     30 6.447002e+09  0.000000e+00   True
     0     31 5.789233e+09  0.000000e+00   True
     0     32 5.535434e+09  0.000000e+00   True
     0     33 5.158041e+09  0.000000e+00   True
     0     34 4.894399e+09 1.027861e-299   True
     0     35 4.641812e+09 3.229122e-304   True
     0     36 4.202977e+09 2.069601e-261   True
     0     37 4.008581e+09 1.057129e-271   True
     0     38 3.746171e+09 5.118940e-253   True
     0     39 3.480112e+09 1.470325e-200   True
     0     40 3.346063e+09 5.831467e-216   True
     0     41 3.213317e+09 5.286594e-232   True
     0     42 2.995724e+09 5.462531e-202   True
     0     43 2.857273e+09 8.593899e-208   True
     0     44 2.658659e+09 9.088034e-177   True
     0     45 2.531402e+09 2.684026e-160   True
     0     46 2.401990e+09 4.146379e-145   True
     0     47 2.290139e+09 8.716486e-160   True
     0     48 2.138771e+09 4.048106e-138   True
     0     49 2.024637e+09 8.557565e-132   True
     0     50 1.993663e+09 3.485977e-128   True
     0     51 1.837958e+09 3.044641e-112   True
     0     52 1.770906e+09 9.400816e-123   True
     0     53 1.693333e+09  2.435637e-93   True
     0     54 1.611093e+09 3.401452e-113   True
     0     55 1.554778e+09  3.935100e-93   True
     0     56 1.455605e+09 4.512009e-103   True
     0     57 1.430046e+09  6.003022e-97   True
     0     58 1.427984e+09 1.386691e-104   True
     0     59 1.286652e+09  3.004751e-78   True
     0     60 1.265562e+09  5.552736e-86   True
     0     61 1.245317e+09 2.803365e-102   True
     0     62 1.109549e+09  2.483583e-69   True
     0     63 1.084171e+09  1.909887e-66   True
     0     64 1.083069e+09  2.967001e-67   True
     0     65 9.862767e+08  2.684994e-63   True
     0     66 9.518202e+08  4.638065e-44   True
     0     67 8.984188e+08  5.257561e-56   True
     0     68 9.037329e+08  2.062036e-67   True
     0     69 8.954178e+08  1.079721e-58   True
     0     70 8.123300e+08  4.379285e-53   True
     0     71 8.097429e+08  1.694259e-57   True
     0     72 7.337189e+08  1.971670e-38   True
     0     73 7.691815e+08  6.439849e-46   True
     0     74 7.201250e+08  1.257726e-45   True
     0     75 6.927194e+08  5.228531e-39   True
     0     76 6.734877e+08  2.825580e-39   True
     0     77 6.638852e+08  6.317835e-48   True
     0     78 5.956696e+08  1.867898e-34   True
     0     79 6.336311e+08  7.826139e-41   True
     0     80 5.589894e+08  5.749001e-36   True
     0     81 5.825374e+08  9.436974e-36   True
     0     82 5.424282e+08  7.702207e-33   True
     0     83 5.398609e+08  2.886714e-33   True
     0     84 5.117036e+08  4.741992e-28   True
     0     85 4.992550e+08  5.038553e-30   True
     0     86 4.942047e+08  7.372004e-25   True
     0     87 4.970061e+08  3.578223e-33   True
     0     88 4.512148e+08  1.002699e-37   True
     0     89 4.436546e+08  8.968066e-28   True
