 Time1  Time2       u_stat         p-val Reject
     0      1 3.952910e+11  1.156089e-44   True
     0      2 4.139589e+11  0.000000e+00   True
     0      3 2.834682e+11  0.000000e+00   True
     0      4 2.088900e+11  0.000000e+00   True
     0      5 1.637930e+11  0.000000e+00   True
     0      6 1.342286e+11  0.000000e+00   True
     0      7 1.122672e+11  0.000000e+00   True
     0      8 9.535642e+10  0.000000e+00   True
     0      9 8.137571e+10  0.000000e+00   True
     0     10 7.029254e+10  0.000000e+00   True
     0     11 6.094960e+10  0.000000e+00   True
     0     12 5.266088e+10  0.000000e+00   True
     0     13 4.657781e+10  0.000000e+00   True
     0     14 4.088373e+10  0.000000e+00   True
     0     15 3.603829e+10  0.000000e+00   True
     0     16 3.214460e+10  0.000000e+00   True
     0     17 2.835125e+10  0.000000e+00   True
     0     18 2.536330e+10  0.000000e+00   True
     0     19 2.262487e+10  0.000000e+00   True
     0     20 2.044012e+10  0.000000e+00   True
     0     21 1.832688e+10  0.000000e+00   True
     0     22 1.652122e+10  0.000000e+00   True
     0     23 1.494604e+10  0.000000e+00   True
     0     24 1.359175e+10  0.000000e+00   True
     0     25 1.228617e+10  0.000000e+00   True
     0     26 1.129628e+10  0.000000e+00   True
     0     27 1.014580e+10  0.000000e+00   True
     0     28 9.228861e+09  0.000000e+00   True
     0     29 8.507413e+09  0.000000e+00   True
     0     30 7.814192e+09  0.000000e+00   True
     0     31 7.157973e+09  0.000000e+00   True
     0     32 6.526771e+09  0.000000e+00   True
     0     33 5.910630e+09  0.000000e+00   True
     0     34 5.669053e+09  0.000000e+00   True
     0     35 5.148357e+09  0.000000e+00   True
     0     36 4.739297e+09  0.000000e+00   True
     0     37 4.369322e+09  0.000000e+00   True
     0     38 4.011357e+09  0.000000e+00   True
     0     39 3.781400e+09  0.000000e+00   True
     0     40 3.405154e+09  0.000000e+00   True
     0     41 3.149379e+09  0.000000e+00   True
     0     42 2.936651e+09  0.000000e+00   True
     0     43 2.781572e+09  0.000000e+00   True
     0     44 2.525952e+09 1.128543e-284   True
     0     45 2.345915e+09 3.915612e-290   True
     0     46 2.193947e+09 6.580635e-283   True
     0     47 2.009177e+09 4.342588e-248   True
     0     48 1.977203e+09 5.353117e-275   True
     0     49 1.727642e+09 1.291129e-237   True
     0     50 1.645750e+09 6.214734e-246   True
     0     51 1.603443e+09 1.690654e-218   True
     0     52 1.491026e+09 5.576270e-198   True
     0     53 1.349576e+09 4.428100e-190   True
     0     54 1.274114e+09 3.490737e-193   True
     0     55 1.201136e+09 1.589150e-152   True
     0     56 1.136306e+09 2.271118e-160   True
     0     57 1.050684e+09 5.972307e-146   True
     0     58 9.980980e+08 1.011551e-137   True
     0     59 9.618152e+08 2.292880e-138   True
     0     60 8.988838e+08 2.931023e-125   True
     0     61 7.965722e+08 1.761021e-103   True
     0     62 8.086943e+08 2.009926e-117   True
     0     63 7.269836e+08 1.296112e-103   True
     0     64 6.862606e+08  6.658094e-99   True
     0     65 6.664504e+08 4.811563e-103   True
     0     66 6.057019e+08  1.068448e-84   True
     0     67 5.834794e+08  2.915312e-85   True
     0     68 5.726362e+08  8.153806e-99   True
     0     69 5.146180e+08  7.860072e-75   True
     0     70 4.820961e+08  4.084759e-66   True
     0     71 4.640410e+08  3.454439e-74   True
     0     72 4.708331e+08  1.201115e-68   True
     0     73 4.203548e+08  7.307308e-64   True
     0     74 4.209572e+08  1.380230e-59   True
     0     75 3.712462e+08  5.149282e-74   True
     0     76 3.502214e+08  5.092192e-50   True
     0     77 3.402370e+08  9.843556e-49   True
     0     78 3.111145e+08  5.613874e-39   True
     0     79 3.027471e+08  1.336445e-46   True
     0     80 3.045374e+08  5.026742e-35   True
     0     81 2.662888e+08  7.322444e-39   True
     0     82 2.766149e+08  6.181244e-42   True
     0     83 2.581217e+08  3.421402e-42   True
     0     84 2.564351e+08  2.566683e-51   True
     0     85 2.252306e+08  1.056039e-33   True
     0     86 2.383271e+08  1.260924e-46   True
     0     87 2.167908e+08  6.107264e-33   True
     0     88 2.058113e+08  2.837241e-32   True
     0     89 1.956491e+08  7.766201e-30   True
     0     90 1.722885e+08  2.229123e-22   True
     0     91 1.622607e+08  7.902263e-27   True
     0     92 1.607571e+08  2.434113e-26   True
     0     93 1.550020e+08  1.027953e-18   True
     0     94 1.571386e+08  1.107053e-23   True
     0     95 1.656336e+08  2.324710e-26   True
     0     96 1.350138e+08  4.298597e-24   True
     0     97 1.452443e+08  1.665418e-30   True
     0     98 1.404885e+08  6.870431e-26   True
     0     99 1.163487e+08  9.412484e-14   True
     0    100 1.169929e+08  1.783965e-16   True
     0    101 1.105741e+08  4.186552e-20   True
     0    102 1.205599e+08  5.680447e-19   True
     0    103 1.104878e+08  1.688398e-20   True
     0    104 1.154336e+08  4.588620e-20   True
     0    105 9.835534e+07  2.011100e-23   True
     0    106 8.774504e+07  2.758909e-17   True
     0    107 9.304554e+07  2.791582e-12   True
     0    108 8.129891e+07  9.364492e-17   True
     0    109 6.921227e+07  7.432515e-10   True
     0    110 7.379319e+07  3.483758e-13   True
     0    111 7.967698e+07  1.559666e-13   True
     0    112 6.322470e+07  3.389998e-10   True
     0    113 6.588823e+07  2.795509e-10   True
     0    114 6.933967e+07  2.559182e-11   True
     0    115 6.314387e+07  5.187342e-12   True
     0    116 5.660522e+07  4.575588e-08   True
