 Time1  Time2       u_stat         p-val Reject
     0      1 1.984648e+12  0.000000e+00   True
     0      2 1.660785e+12  0.000000e+00   True
     0      3 9.851660e+11  0.000000e+00   True
     0      4 6.876836e+11  0.000000e+00   True
     0      5 5.311258e+11  0.000000e+00   True
     0      6 4.318409e+11  0.000000e+00   True
     0      7 3.570587e+11  0.000000e+00   True
     0      8 3.017146e+11  0.000000e+00   True
     0      9 2.571716e+11  0.000000e+00   True
     0     10 2.216313e+11  0.000000e+00   True
     0     11 1.922605e+11  0.000000e+00   True
     0     12 1.682387e+11  0.000000e+00   True
     0     13 1.475796e+11  0.000000e+00   True
     0     14 1.313187e+11  0.000000e+00   True
     0     15 1.160016e+11  0.000000e+00   True
     0     16 1.041167e+11  0.000000e+00   True
     0     17 9.319942e+10  0.000000e+00   True
     0     18 8.472659e+10  0.000000e+00   True
     0     19 7.621841e+10  0.000000e+00   True
     0     20 6.911314e+10  0.000000e+00   True
     0     21 6.297213e+10  0.000000e+00   True
     0     22 5.730557e+10  0.000000e+00   True
     0     23 5.288709e+10  0.000000e+00   True
     0     24 4.868426e+10  0.000000e+00   True
     0     25 4.484142e+10  0.000000e+00   True
     0     26 4.150710e+10  0.000000e+00   True
     0     27 3.804880e+10  0.000000e+00   True
     0     28 3.551165e+10  0.000000e+00   True
     0     29 3.278241e+10  0.000000e+00   True
     0     30 3.088884e+10  0.000000e+00   True
     0     31 2.839527e+10  0.000000e+00   True
     0     32 2.680664e+10  0.000000e+00   True
     0     33 2.465871e+10  0.000000e+00   True
     0     34 2.312696e+10  0.000000e+00   True
     0     35 2.190144e+10  0.000000e+00   True
     0     36 2.061869e+10  0.000000e+00   True
     0     37 1.913245e+10  0.000000e+00   True
     0     38 1.806830e+10  0.000000e+00   True
     0     39 1.708471e+10  0.000000e+00   True
     0     40 1.617237e+10  0.000000e+00   True
     0     41 1.522776e+10  0.000000e+00   True
     0     42 1.436242e+10  0.000000e+00   True
     0     43 1.357279e+10  0.000000e+00   True
     0     44 1.300836e+10  0.000000e+00   True
     0     45 1.204512e+10  0.000000e+00   True
     0     46 1.152113e+10  0.000000e+00   True
     0     47 1.076814e+10  0.000000e+00   True
     0     48 1.035694e+10  0.000000e+00   True
     0     49 9.873124e+09  0.000000e+00   True
     0     50 9.531978e+09  0.000000e+00   True
     0     51 9.290495e+09  0.000000e+00   True
     0     52 8.643691e+09  0.000000e+00   True
     0     53 8.306473e+09  0.000000e+00   True
     0     54 7.964918e+09  0.000000e+00   True
     0     55 7.496892e+09  0.000000e+00   True
     0     56 7.326301e+09 3.609132e-302   True
     0     57 6.746568e+09 7.156394e-278   True
     0     58 6.567259e+09 9.543533e-269   True
     0     59 6.260736e+09 8.347733e-277   True
     0     60 6.078128e+09 9.568284e-245   True
     0     61 5.768321e+09 9.524218e-250   True
     0     62 5.548877e+09 4.364141e-243   True
     0     63 5.337907e+09 1.362256e-232   True
     0     64 5.230347e+09 2.314681e-219   True
     0     65 4.848219e+09 8.794890e-201   True
     0     66 4.707124e+09 6.727842e-205   True
     0     67 4.427261e+09 1.665549e-170   True
     0     68 4.236456e+09 3.828017e-171   True
     0     69 4.170051e+09 7.187794e-160   True
     0     70 4.027165e+09 5.147493e-183   True
     0     71 3.831069e+09 1.927414e-144   True
     0     72 3.753527e+09 2.772211e-163   True
     0     73 3.509661e+09 1.430304e-129   True
     0     74 3.404476e+09 2.691186e-142   True
     0     75 3.299085e+09 9.470115e-137   True
     0     76 3.194323e+09 9.864190e-142   True
     0     77 3.087472e+09 4.794106e-127   True
     0     78 2.837346e+09 1.670664e-112   True
     0     79 2.910017e+09 2.488982e-130   True
     0     80 2.770558e+09 9.852621e-133   True
     0     81 2.712565e+09 3.207817e-113   True
     0     82 2.620460e+09 1.341049e-116   True
     0     83 2.498907e+09 1.161700e-113   True
     0     84 2.458807e+09 1.517325e-107   True
     0     85 2.210500e+09  8.260595e-83   True
     0     86 2.306265e+09 3.711617e-112   True
     0     87 2.210318e+09 6.332265e-111   True
     0     88 2.166429e+09 6.218900e-101   True
     0     89 2.065231e+09  1.652402e-93   True
     0     90 1.993649e+09  6.937344e-91   True
     0     91 1.929166e+09  1.637571e-94   True
     0     92 1.832427e+09  3.074999e-71   True
     0     93 1.873592e+09  4.675453e-86   True
     0     94 1.743347e+09  4.347585e-67   True
     0     95 1.764358e+09  6.084830e-77   True
     0     96 1.639396e+09  8.086541e-73   True
     0     97 1.544802e+09  5.336715e-68   True
     0     98 1.571060e+09  1.262365e-77   True
     0     99 1.476222e+09  5.287117e-60   True
     0    100 1.394162e+09  2.741396e-45   True
     0    101 1.405465e+09  1.573751e-61   True
     0    102 1.269864e+09  1.911844e-49   True
     0    103 1.391160e+09  1.522075e-58   True
     0    104 1.314887e+09  2.754433e-55   True
     0    105 1.241253e+09  2.189129e-49   True
